filename,width,height,class,xmin,ymin,xmax,ymax
resized155.png,640,311,Paper,144,72,501,240
resized059.png,640,311,Rock,176,69,409,269
resized052.png,640,311,Rock,253,61,449,244
resized159.png,640,311,Paper,133,69,523,251
resized157.png,640,311,Paper,132,56,502,248
resized028.png,640,311,Scissors,148,50,481,234
resized129.png,640,311,Paper,172,85,452,222
resized136.png,640,311,Paper,197,82,456,248
resized000.png,640,311,Paper,155,64,484,254
resized084.png,640,311,Scissors,294,85,521,218
resized038.png,640,311,Scissors,107,35,545,275
resized004.png,640,311,Paper,183,72,465,225
resized189.png,640,311,Rock,187,46,441,234
resized150.png,640,311,Paper,176,50,527,232
resized081.png,640,311,Scissors,299,65,516,205
resized194.png,640,311,Rock,221,47,448,252
resized184.png,640,311,Rock,206,64,454,240
resized005.png,640,311,Paper,60,61,506,285
resized186.png,640,311,Rock,216,86,439,258
resized086.png,640,311,Scissors,231,76,510,209
resized153.png,640,311,Paper,159,54,489,230
resized130.png,640,311,Paper,182,68,454,285
resized173.png,640,311,Scissors,162,31,480,219
resized068.png,640,311,Rock,190,69,429,263
resized032.png,640,311,Scissors,167,46,469,216
resized082.png,640,311,Scissors,296,75,547,220
resized179.png,640,311,Scissors,143,44,487,220
resized050.png,640,311,Rock,236,60,459,249
resized066.png,640,311,Rock,200,82,404,272
resized187.png,640,311,Rock,191,75,480,258
resized002.png,640,311,Paper,179,75,460,237
resized182.png,640,311,Rock,203,60,453,247
resized053.png,640,311,Rock,257,67,452,236
resized128.png,640,311,Paper,192,81,442,222
resized148.png,640,311,Paper,176,67,507,220
resized001.png,640,311,Paper,170,65,476,240
resized192.png,640,311,Rock,196,53,416,226
resized077.png,640,311,Scissors,226,66,509,224
resized093.png,640,311,Scissors,236,94,528,246
resized051.png,640,311,Rock,265,54,460,236
resized141.png,640,311,Paper,115,75,490,271
resized011.png,640,311,Paper,161,48,459,260
resized114.png,640,311,Rock,255,59,472,215
resized040.png,640,311,Scissors,139,33,511,216
resized119.png,640,311,Rock,252,47,452,225
resized137.png,640,311,Paper,178,81,459,258
resized190.png,640,311,Rock,183,48,453,245
resized036.png,640,311,Scissors,90,42,544,285
resized067.png,640,311,Rock,187,85,415,267
resized131.png,640,311,Paper,171,69,443,279
resized105.png,640,311,Rock,248,74,483,265
resized009.png,640,311,Paper,67,61,473,277
resized127.png,640,311,Paper,165,84,418,238
resized031.png,640,311,Scissors,176,48,470,216
resized122.png,640,311,Rock,207,62,414,233
resized087.png,640,311,Scissors,244,90,515,234
resized021.png,640,311,Paper,125,42,505,267
resized041.png,640,311,Scissors,120,29,516,207
resized115.png,640,311,Rock,260,41,467,203
resized060.png,640,311,Rock,238,83,442,245
resized140.png,640,311,Paper,113,73,472,285
resized054.png,640,311,Rock,234,58,458,243
resized063.png,640,311,Rock,217,70,428,244
resized033.png,640,311,Scissors,166,50,472,223
resized168.png,640,311,Scissors,113,42,494,262
resized016.png,640,311,Paper,110,37,563,300
resized160.png,640,311,Paper,126,89,494,262
resized085.png,640,311,Scissors,227,82,494,223
resized112.png,640,311,Rock,234,57,460,228
resized188.png,640,311,Rock,226,71,469,244
resized107.png,640,311,Rock,249,83,477,272
resized044.png,640,311,Scissors,121,27,500,210
resized171.png,640,311,Scissors,158,43,490,235
resized056.png,640,311,Rock,163,73,441,272
resized090.png,640,311,Scissors,225,82,516,228
resized094.png,640,311,Scissors,241,86,569,232
resized111.png,640,311,Rock,249,61,465,222
resized152.png,640,311,Paper,169,44,510,219
resized026.png,640,311,Scissors,144,47,487,234
resized121.png,640,311,Rock,219,69,398,226
resized074.png,640,311,Rock,182,69,447,277
resized097.png,640,311,Scissors,199,66,498,221
resized138.png,640,311,Paper,182,84,448,252
resized078.png,640,311,Scissors,211,66,516,228
resized096.png,640,311,Scissors,194,65,493,229
resized095.png,640,311,Scissors,164,64,473,202
resized116.png,640,311,Rock,249,38,441,208
resized166.png,640,311,Scissors,103,45,464,260
resized014.png,640,311,Paper,134,57,475,256
resized069.png,640,311,Rock,191,77,427,251
resized015.png,640,311,Paper,100,21,566,304
resized191.png,640,311,Rock,180,55,424,233
resized147.png,640,311,Paper,154,65,515,232
resized080.png,640,311,Scissors,298,83,528,211
resized027.png,640,311,Scissors,121,47,486,243
resized178.png,640,311,Scissors,139,54,468,211
resized006.png,640,311,Paper,65,50,503,292
resized072.png,640,311,Rock,242,56,422,222
resized142.png,640,311,Paper,129,77,472,272
resized024.png,640,311,Paper,114,65,495,262
resized007.png,640,311,Paper,60,49,483,280
resized143.png,640,311,Paper,122,68,520,291
resized183.png,640,311,Rock,185,67,468,248
resized176.png,640,311,Scissors,123,34,487,216
resized156.png,640,311,Paper,146,80,490,235
resized125.png,640,311,Paper,184,90,427,243
resized146.png,640,311,Paper,166,64,500,231
resized061.png,640,311,Rock,214,74,446,245
resized055.png,640,311,Rock,161,83,421,269
resized013.png,640,311,Paper,145,56,469,263
resized175.png,640,311,Scissors,148,42,499,212
resized091.png,640,311,Scissors,225,85,523,240
resized076.png,640,311,Scissors,199,48,500,228
resized088.png,640,311,Scissors,247,99,507,226
resized158.png,640,311,Paper,137,58,489,241
resized170.png,640,311,Scissors,152,31,494,233
resized109.png,640,311,Rock,248,69,478,246
resized010.png,640,311,Paper,161,52,475,250
resized144.png,640,311,Paper,102,62,505,278
resized145.png,640,311,Paper,170,69,531,225
resized135.png,640,311,Paper,191,68,445,245
resized118.png,640,311,Rock,247,53,452,213
resized043.png,640,311,Scissors,129,37,503,223
resized042.png,640,311,Scissors,124,44,493,216
resized030.png,640,311,Scissors,176,38,463,206
resized071.png,640,311,Rock,242,32,469,185
resized008.png,640,311,Paper,43,59,489,281
resized104.png,640,311,Rock,249,72,428,233
resized049.png,640,311,Scissors,197,78,510,246
resized180.png,640,311,Rock,211,58,461,254
resized106.png,640,311,Rock,229,73,481,259
resized120.png,640,311,Rock,211,74,426,225
resized025.png,640,311,Scissors,132,52,484,239
resized075.png,640,311,Scissors,191,67,495,233
resized073.png,640,311,Rock,248,61,438,233
resized083.png,640,311,Scissors,303,86,523,201
resized020.png,640,311,Paper,134,45,521,255
resized164.png,640,311,Paper,139,75,493,252
resized101.png,640,311,Rock,244,89,443,238
resized151.png,640,311,Paper,188,51,548,241
resized089.png,640,311,Scissors,230,87,497,235
resized099.png,640,311,Scissors,247,72,489,217
resized161.png,640,311,Paper,99,87,487,247
resized058.png,640,311,Rock,151,75,417,278
resized039.png,640,311,Scissors,115,42,559,270
resized108.png,640,311,Rock,255,81,485,263
resized193.png,640,311,Rock,165,42,416,222
resized064.png,640,311,Rock,229,77,428,235
resized045.png,640,311,Scissors,177,78,500,255
resized154.png,640,311,Paper,164,55,507,233
resized185.png,640,311,Rock,201,74,458,240
resized165.png,640,311,Scissors,105,44,446,256
resized019.png,640,311,Paper,102,34,541,295
resized167.png,640,311,Scissors,87,47,465,246
resized149.png,640,311,Paper,140,25,557,226
resized012.png,640,311,Paper,163,68,464,260
resized169.png,640,311,Scissors,114,32,458,268
resized113.png,640,311,Rock,246,50,463,222
resized065.png,640,311,Rock,185,86,432,269
resized023.png,640,311,Paper,107,43,494,252
resized037.png,640,311,Scissors,104,36,571,287
resized048.png,640,311,Scissors,195,64,531,248
resized102.png,640,311,Rock,241,72,427,227
resized126.png,640,311,Paper,173,95,438,233
resized177.png,640,311,Scissors,148,40,466,199
resized018.png,640,311,Paper,116,36,543,304
resized029.png,640,311,Scissors,137,44,478,238
resized047.png,640,311,Scissors,195,75,522,248
resized079.png,640,311,Scissors,227,60,515,215
resized035.png,640,311,Scissors,96,37,565,272
resized003.png,640,311,Paper,196,57,452,240
resized139.png,640,311,Paper,179,86,456,262
resized022.png,640,311,Paper,124,42,495,245
resized046.png,640,311,Scissors,189,74,522,252
resized124.png,640,311,Rock,207,71,407,230
resized100.png,640,311,Rock,254,60,437,250
resized174.png,640,311,Scissors,155,37,500,237
resized134.png,640,311,Paper,184,61,449,287
resized181.png,640,311,Rock,215,59,462,254
resized123.png,640,311,Rock,229,58,418,239
resized162.png,640,311,Paper,112,75,488,260
resized132.png,640,311,Paper,180,66,449,275
resized057.png,640,311,Rock,165,67,410,268
resized110.png,640,311,Rock,273,52,485,215
resized017.png,640,311,Paper,107,41,564,304
resized172.png,640,311,Scissors,160,47,489,238
resized034.png,640,311,Scissors,166,48,467,221
